2020-12-30 08:35:35.122 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-12-30 08:35:35.146 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@323b36e0, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@44ebcd03, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@694abbdc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2e005c4b, org.springframework.test.context.event.EventPublishingTestExecutionListener@4567f35d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5ffead27, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6356695f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4f18837a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@359f7cdf, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1fa268de, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4f6ee6e4]
2020-12-30 08:35:35.288 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-12-30 08:35:35.290 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@24313fcc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7d20d0b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@77f1baf5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@41a2befb, org.springframework.test.context.event.EventPublishingTestExecutionListener@6c40365c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7bedc48a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@131ef10, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@55b0dcab, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@38afe297, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2df3b89c, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@23348b5d]
2020-12-30 08:35:36.067 [main] INFO  com.ex.evil_log.springaop.StudentImp - 保存操作*****
2020-12-30 08:35:36.068 [main] INFO  com.ex.evil_log.springaop.StudentImp - 查找操作*****
2020-12-30 08:35:36.068 [main] INFO  com.ex.evil_log.springaop.StudentImp - 删除操作*****
2020-12-30 08:35:36.070 [main] INFO  com.ex.evil_log.springaop.StudentImp - 更新操作*****
2020-12-30 08:37:03.813 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-12-30 08:37:03.836 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@75f32542, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7f1302d6, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@43ee72e6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@23529fee, org.springframework.test.context.event.EventPublishingTestExecutionListener@4fe767f3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2805c96b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@184cf7cf, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2fd6b6c7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5bfa9431, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5db250b4, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@223f3642]
2020-12-30 08:37:05.035 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.Customer - =================删除操作================
2020-12-30 08:37:05.040 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.MyAspectAnno - ===@Order(0)先于1执行===pointcut1-save前置校验通知=========execution(String com.ex.evil_log.aspectj_aop_cjlib.Customer.save())
2020-12-30 08:37:05.040 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.OrderAspect - ===@Order(1)===pointcut-save前置校验通知=========execution(String com.ex.evil_log.aspectj_aop_cjlib.Customer.save())
2020-12-30 08:37:05.041 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.Customer - 保存操作
2020-12-30 08:37:05.041 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.OrderAspect - ======@Order(1)==========pointcut-save后置通知===============Customer - return save
2020-12-30 08:37:05.042 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.MyAspectAnno - ======@Order(0)后执行==========pointcut1-save后置通知===============Customer - return save
